id	model_id	date_created	target_result	sample_id_deprecating	source_id	source_origin	llm_prompt_tokens	llm_completion_tokens	llm_finish_reason
11	gpt3.5_en_nan01_poj	20231005	Chit-ê lêng-chèng sī tē-kok chit-ê chheng-chúi, chit-ê tōa-lōe sī khòaⁿ-lâng kóng-tiong tio̍h-ê chhiaⁿ-chōe lāi tio̍h-ê chhiaⁿ-chōe. Gōa-chúi ê chheng-chúi kàu-chē ê lêng-chèng, chhut-chhòng chúi ê chheng-chúi, kah khòaⁿ-lâng chhut-chhòng chúi ê chheng-chúi, sī tōa-chèng chhut-chhòng chúi ê chheng-chúi. Tāi-choân ê chheng-chúi, chit-ê gōa-chúi ê lêng-chèng sī chi̍t-ê kau-ê ê chheng-chúi, chhiáⁿ-chhōe lāi kóng-tiong, chhiáⁿ-chhōe lāi siōng-siōng, kah chhiáⁿ-chhōe lāi chheh-chheh. Tāi-choân ê chheng-chúi, chit-ê gōa-chúi ê lêng-chèng sī chi̍t-ê chhut-chhòng chúi ê chheng-chúi, kah chheng-chúi ê chheng-chúi chhut-chhòng chúi ê chheng-chúi, sī chi̍t-ê chóng-chèng chhut-chhòng chúi ê chheng-chúi, kah chheng-chúi ê chheng-chúi chhut-chhòng chúi ê chheng-chúi.	11	11	wiki	162	444	stop
12	gpt3.5_en_nan01_poj	20231005	Chheng-hoat ê kong-si sī chit-ê chheng-hoat ê kong-si, i ê chhiau-si kàu-chhiáⁿ keng-chèng, kong-si, kap jîn-choân. Kong-si sī chit-ê chhiau-si kàu-chhiáⁿ keng-chèng ê lio̍k-chheng, kàu-chhiáⁿ kap chheng-hoat ê hōe-hōng.	12	12	wiki	98	125	stop
13	gpt3.5_en_nan01_poj	20231005	Chèng-lī ê chhòa-chēng pōe chit-ê lūn-lī, chit-ê kāng-kok ê lāi-ha̍k, tī chi̍t-ê līng-sī chit-ê "lu̍t-līng" ê khuānn-ūi lī-ha̍k, chit-ê kāng-kok ê lāi-ha̍k sī tī siōng-lí ê lu̍t-līng lāi kóng-hōe. Chit-ê lūn-lī ê lāi-ha̍k sī iāu-khóo lūn-lī, tōa-tīng tī siōng-lí ê lu̍t-līng lāi bāng-bōe iōng-ji̍t kāng-kok ê lāi-ha̍k. Chit-ê lūn-lī ê lāi-ha̍k sī tōa-tīng tī siōng-lí ê lu̍t-līng lāi bāng-bōe iōng-ji̍t kāng-kok ê lāi-ha̍k. Chit-ê lūn-lī ê lāi-ha̍k sī tōa-tīng tī siōng-lí ê lu̍t-līng lāi bāng-bōe iōng-ji̍t kāng-kok ê lāi-ha̍k. Chit-ê lūn-lī ê lāi-ha̍k sī tōa-tīng tī siōng-lí ê lu̍t-līng lāi bāng-bōe iōng-ji̍t kāng-kok ê lāi-ha̍k. Chit-ê lūn-lī ê lāi-ha̍k sī tōa-tīng tī siōng-lí ê lu̍t-līng lāi bāng-bōe iōng-ji̍t kāng-kok ê lāi-ha̍k.	13	13	wiki	146	510	stop
14	gpt3.5_en_nan01_poj	20231005	Chhòe-sú-iáu sī chi̍t-ê chiu-khìng, chit-ê chhù-iáu ê chhù-iáu, hō͘-sī hó͘-sī ê chhiáⁿ-chòe, iōng-chiáⁿ chit-ê chhù-iáu ê chhù-iáu, tī chhut-siáⁿ ê chhù-iáu ê chhù-iáu. Láu-iōng, iû-chú-kok ê kàu-chú, Chhù-chhái, kah Quran, chiah sī chhut-siáⁿ chhut-siáⁿ ê chhù-iáu chhut-siáⁿ.	14	14	wiki	127	185	stop
15	gpt3.5_en_nan01_poj	20231005	"Chit ê kèng-hō͘ ê ūi-hōe
Chhòng-hōe lāi sī chhōe-á-ji̍t ê lō͘-hōe, i sī chi̍t ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê ōe-sèng, chit-ê chheng-siūⁿ ê"	15	15	wiki	154	2047	length
16	gpt3.5_en_nan01_poj	20231005	Chheng-ha̍k sī chi̍t ê chú-iû, sī sī-á ê chhòaⁿ-chú-iû, i sī chit ê chhut-siáⁿ, chit ê chhut-siáⁿ sī chhut-siáⁿ ê chú-iû, tī Eng-lân chhut-siáⁿ, lāi-á ê chú-iû, lāi-á ê chú-iû sī chú-iû ê chhut-siáⁿ, chú-iû ê chhut-siáⁿ sī chhut-siáⁿ ê chú-iû, tī Bân-lâm-chú-iû ê kong-siāⁿ, tī Bân-lâm-chú-iû ê kong-siāⁿ sī chú-iû ê chhut-siáⁿ.	16	16	wiki	135	213	stop
17	gpt3.5_en_nan01_poj	20231005	Tiong-hôa ê chheng-hōa jīn-á-kiāⁿ, i ê chhut-chheng sī John Cockburn tio̍h-chhut-lâi Tâi-oân ê khiām-chèng-kí.	17	17	wiki	84	63	stop
18	gpt3.5_en_nan01_poj	20231005	"Giā-chūn hoat-théng
Giā-chūn hoat-théng sī tī giā-chūn giāu-sòe huān-hōe ê chheng-chòe, chit-ê lio̍k-á kang-lâng ê Hô-lak-ha, Islam ê Sharia, kap Christian ê Canon Law. Tī 18 sè-kí, Sharia sī Islam sé-kài ê chheng-chòe hoat-théng. Tī Saudi Arabia kap Iran ê kong-si, iā ê hoat-théng chhōe-siūⁿ sī kong-si Sharia ê chheng-chòe."	18	18	wiki	129	156	stop
19	gpt3.5_en_nan01_poj	20231005	Chióng-thoân ê kèng-hōe tōng-àn ū iáu-á ê kì-á-khái, mā tī chióng-ê kám-kiāⁿ kap hōe-ê lāi-tiān tōng-àn kóng, kah iáu-á ê kì-á-khái kóng kah kèng-hōe ê lāi-tiān tōng-àn kóng bô.	19	19	wiki	84	119	stop
20	gpt3.5_en_nan01_poj	20231005	Jîn-lâng ê jîn-á-khì, chit-ê kóng-chiàu, sī lí kóng ê chhut-siōng, sī chhut-siōng ê chhut-siōng. Kóng-tiong Kok-ka Toān-thè, jîn-lâng ê jîn-á-khì sī tī chiah ê iā, m̄-sī lāi khì-tio̍h iā ê. Sī-í kóng, kā jîn-lâng chhut-siōng chit-ê chheng-chiáⁿ, tio̍h ū lāi-siáⁿ lāi ê jîn-á-khì, sī chhut-siōng ê chhut-siōng. Sī-í lāi khì-tio̍h iā ê jîn-lâng, tio̍h ū lí ê kāu-siōng, bô-siōng ê jîn-á-khì, sī chhut-siōng ê chhut-siōng.	20	20	wiki	127	278	stop
21	gpt3.5_en_nan01_poj	20231005	Lán kóng iáu iáu ê tio̍h-á, iá-sī lí ê sī-siūⁿ ê tio̍h-á. Sī-íⁿ, m̄-sī chi̍t-ê tio̍h-á, m̄-sī chi̍t-ê tio̍h-á, iōng iá-sī tio̍h-á, huān iá-sī tio̍h-á. I sī m̄-sī chi̍t-ê lâng tio̍h-á, bē tio̍h-á, iōng i sī m̄-sī chi̍t-ê lâng tio̍h-á, lāu iāu m̄-sī iāu.	21	21	wiki	149	200	stop
22	gpt3.5_en_nan01_poj	20231005	Lâi chit-ê ê jīn-á ê chhut-siáⁿ, sī chi̍t-ê bô-á ê kái-hoat. I sī, chit-ê jīn-á ê chhut-siáⁿ, ū iōng-ê chhut-siáⁿ, lâi ê chhut-siáⁿ iōng-ê chhut-siáⁿ, kā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí ê chhut-siáⁿ, mā iōng-ê chhut-siáⁿ sī tō͘-tō͘-lí	22	22	wiki	156	2048	length
23	gpt3.5_en_nan01_poj	20231005	Chit-ê sì-kái, ū sīn-ūi sīng-ê, sī chheng-keng bô-hōng ê. Chē sīng-ê kám-siáⁿ, kóng-ōe ê kám-siáⁿ, bô chhōe chhōe ê kám-siáⁿ, bô chhōe chhōe ê kám-siáⁿ, kap bô chhōe chhōe ê kám-siáⁿ.	23	23	wiki	112	126	stop
24	gpt3.5_en_nan01_poj	20231005	Kong-tèng ê jîn-lūn ê jîn-cho̍k	24	24	wiki	65	21	stop
25	gpt3.5_en_nan01_poj	20231005	Liân-ha̍p-kok kong-hōe "Jîn-kok Jîn-ūi Koa-hōe" tī 1948 nî chhut-hōe. I kóng-hōe ê jîn-ūi kong-hōe, chhut-chhut ê kok-ka, jîn-ūi ê iōng-kè-khìn kap iōng-kè-siūⁿ, tī chòe-siōng ê būn-cheng kap chhut-chhut ê jîn-ūi ê tōng-ūi chhut-chhut ê guān-hōe. Jîn-kok Jîn-ūi Koa-hōe chhut-chhut ê êng-siūⁿ chhut-chhut ê chhù-chhòng:	25	25	wiki	127	199	stop
26	gpt3.5_en_nan01_poj	20231005	I kóng guá ê lâng-kiàn chèng-kok lūn ê jîn-seng-kiàn sī tō-siūⁿ, bô-khì khuànn-tiàu, lâi-ūi sī chhut-siūⁿ.	26	26	wiki	81	71	stop
27	gpt3.5_en_nan01_poj	20231005	Kok-ka Ki-tiúⁿ ê Ji̍t-pún ê Jīn-sòaⁿ Chèng-thóng, chhut-chhòng ê kok-ka kám-siāⁿ ê siāⁿ-chèng, chit-ê sī bāng-kok kám-siāⁿ chēng-thóng ê jīn-sòaⁿ (chit-ê sī lâng ê lō͘-chèng lō͘-chí, kā chit-ê sī lāi ê jīn-sòaⁿ).	27	27	wiki	96	140	stop
